   4.050s  D:\Documents\New Github\dll\src\Client\GUI\Engine\Engine.cpp
   3.630s  D:\Documents\New Github\dll\src\Client\Module\Modules\TabList\TabList.cpp
   3.250s  D:\Documents\New Github\dll\src\Client\Module\Modules\DebugMenu\DebugMenu.cpp
   3.180s  D:\Documents\New Github\dll\lib\miniz\miniz.c
   2.940s  D:\Documents\New Github\dll\src\Client\Module\Modules\ClickGUI\ClickGUI.cpp
   2.940s  D:\Documents\New Github\dll\src\Client\Module\Modules\Module.cpp
   2.610s  D:\Documents\New Github\dll\lib\ImGui\imgui_freetype.cpp
   2.490s  D:\Documents\New Github\dll\src\Client\Module\Modules\DebugMenu\Tags.cpp
   2.220s  D:\Documents\New Github\dll\lib\ImGui\imgui_impl_win32.cpp
   2.210s  D:\Documents\New Github\dll\src\Client\Client.cpp
   2.140s  D:\Documents\New Github\dll\src\Client\Module\ModuleRegistration.cpp
   2.040s  D:\Documents\New Github\dll\src\Utils\Memory\Game\Sig\SigInit.cpp
   2.020s  D:\Documents\New Github\dll\src\Client\Hook\Manager.cpp
   1.910s  D:\Documents\New Github\dll\lib\kiero\kiero.cpp
   1.840s  D:\Documents\New Github\dll\src\Client\Hook\Hooks\Render\DirectX\DX12\SwapchainHook_DX12.cpp
   1.760s  D:\Documents\New Github\dll\src\Client\Module\Modules\BetterHungerBar\BetterHungerBar.cpp
   1.760s  D:\Documents\New Github\dll\lib\ImGui\imgui_impl_dx12.cpp
   1.740s  D:\Documents\New Github\dll\src\SDK\Client\Actor\Actor.cpp
   1.620s  D:\Documents\New Github\dll\src\Utils\Utils.cpp
   1.610s  D:\Documents\New Github\dll\src\Client\Module\Modules\HiveStat\HiveStat.cpp
   1.610s  D:\Documents\New Github\dll\src\Client\Hook\Hooks\Render\DirectX\DX11\SwapchainHook_DX11.cpp
   1.570s  D:\Documents\New Github\dll\src\Client\Command\Commands\ConfigCommand.cpp
   1.520s  D:\Documents\New Github\dll\main.cpp
   1.510s  D:\Documents\New Github\dll\src\Scripting\Script.cpp
   1.470s  D:\Documents\New Github\dll\src\Utils\WinrtUtils.cpp
   1.470s  D:\Documents\New Github\dll\lib\ImGui\imgui_impl_dx11.cpp
   1.460s  D:\Documents\New Github\dll\src\Client\Module\Modules\Waypoints\Waypoints.cpp
   1.420s  D:\Documents\New Github\dll\src\Client\GUI\Engine\Elements\Windows\ColorPickerWindow\ColorPickerWindow.cpp
   1.370s  D:\Documents\New Github\dll\src\Client\Hook\Hooks\Render\DirectX\DXGI\SwapchainHook.cpp
   1.370s  D:\Documents\New Github\dll\src\Client\Hook\Hooks\Render\DirectX\DXGI\ResizeHook.cpp
   1.300s  D:\Documents\New Github\dll\src\Client\Module\Modules\ArmorHUD\ArmorHUD.cpp
   1.290s  D:\Documents\New Github\dll\src\Client\Module\Modules\Keystrokes\Keystrokes.cpp
   1.270s  D:\Documents\New Github\dll\src\Client\GUI\Engine\Elements\Control\Image\Image.cpp
